x,f
0.0,10998.842689
21746.807923935212,9166.002164993422
32572.064319261066,13901.43789802
35353.624734715435,13816.292394882646
36742.1682236813,3196.8208006884215
37157.47313521579,4293.330645661981
37393.93021426733,7268.463086333709
37432.729145378486,7738.781240837993
37432.76712098794,7739.236148525632
37432.768183513195,7739.248876455834
37432.76904913053,7739.259245637188
37432.76975433107,7739.267693194736
37432.770328843355,7739.274575245035
37432.77079688662,7739.280181908997
37432.7711781918,7739.284749542203
37432.77148883323,7739.2884706984005
37432.77285442896,7739.304829092767
37432.798058931214,7739.606752406292
37432.93406372465,7741.23594616979
37433.834895337444,7752.026957342638
37438.69582915566,7810.255809880451
37464.48357274891,8116.046845245108
37590.31360991891,9529.376300856433
38109.089432284214,13404.743126302672
43437.844430626465,9937.313304071999
86490.62534881454,3669.7079150180975
172800.0,7548.994163
